ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;CHANGEMENT_STATUT
"20";"159447";"159447";"Austropotamobius torrentium";"(Schrank, 1803)";"Écrevisse des torrents";"";"ES";"Astacidae";"";"";"CR";"B2ab(ii,iii,iv)";"";"2012";"DD";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"250289";"250289";"Chirocephalus spinicaudatus";"Simon, 1886";"";"";"ES";"Chirocephalidae";"Métropole";"";"CR";"B(1+2)ab(i,ii,iii,iv)c(iv)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"250295";"250295";"Cyzicus tetracerus";"(Krynicki, 1830)";"";"";"ES";"Cyzicidae";"";"";"CR";"B2ab(ii,iii)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"319828";"319828";"Daphnia mediterranea";"Alonso, 1985";"";"";"ES";"Daphniidae";"";"";"CR";"B2ab(iii)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"321703";"321703";"Echinogammarus aquilifer";"Pinkster, 1969";"";"";"ES";"Gammaridae";"";"";"CR";"B1ab(i,ii,iv)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"241240";"241240";"Echinogammarus zebrinus";"Pinkster & Stock, 1971";"";"";"ES";"Gammaridae";"Métropole";"";"CR";"B2ab(ii,iii,iv)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"250296";"250296";"Eoleptestheria ticinensis";"(Balsamo-Crivelli, 1859)";"";"";"ES";"Leptestheriidae";"";"";"CR";"B2ab(v)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"241246";"241246";"Gammarus monspeliensis";"Pinkster, 1972";"";"";"ES";"Gammaridae";"Métropole";"";"CR";"B2ab(i,ii,iii)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"348263";"348263";"Lynceus brachyurus";"Müller, 1776";"";"";"ES";"Lynceidae";"";"";"CR";"B(1+2)ab(ii,iii)c(iv)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"20";"319848";"319848";"Moina salina";"Daday, 1888";"";"";"ES";"Moinidae";"";"";"CR";"B2ab(iii)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"25";"250281";"250281";"Artemia parthenogenetica";"Bowen & Sterling, 1978";"";"";"ES";"Artemiidae";"";"";"EN";"B2ab(ii,iii)";"";"2012";"";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
"25";"18432";"18432";"Astacus astacus";"(Linnaeus, 1758)";"Écrevisse à pattes rouges";"";"ES";"Astacidae";"";"";"EN";"B2ab(ii,iii,iv)";"";"2012";"VU";"";"";"Liste rouge des crustacés d'eau douce de France métropolitaine";"Crustaces_eau_douce_Metropole_2012";"Crabes, crevettes, cloportes et mille-pattes";"";
