ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC;CHANGEMENT_STATUT
5;67856;67856;Coregonus bezola;Fatio, 1888;Bezoule;;ES;Salmonidae;Oui;;EX;;;2019;EX;EX;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;E
5;67868;67868;Coregonus fera;Jurine, 1825;Corégone fera;;ES;Salmonidae;Non;;EX;;;2019;EX;EX;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;PC
5;67870;67870;Coregonus hiemalis;Jurine, 1825;Corégone gravenche;;ES;Salmonidae;Non;;EX;;;2019;EX;EX;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;PC
15;347916;347916;Acipenser oxyrinchus;Mitchill, 1815;Esturgeon noir;;ES;Acipenseridae;Non;;RE;;;2019;NT;;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;E
15;958733;68808;Aphanius iberus;(Valenciennes, 1846);Aphanius d'Espagne;;ES;Aphaniidae;Non;;RE;;;2019;EN;EN;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;PC
15;68817;68817;Valencia hispanica;(Valenciennes, 1846);Cyprinodonte de Valence;;ES;Valenciidae;Non;;RE;;;2019;CR;CR;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;PC
20;66775;66775;Acipenser sturio;Linnaeus, 1758;Esturgeon européen;;ES;Acipenseridae;Non;;CR;A2abc D;Diminution;2019;CR;CR;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;PC
20;66967;66967;Alosa alosa;(Linnaeus, 1758);Grande Alose;;ES;Clupeidae;Non;;CR;A2b+4b;Diminution;2019;LC;LC;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;Vd
20;66832;66832;Anguilla anguilla;(Linnaeus, 1758);Anguille européenne;;ES;Anguillidae;Non;;CR;A2bd+4bd;Diminution;2019;CR;CR;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;PC
20;159453;159453;Cottus petiti;Bacescu & Bacescu-Mester, 1964;Chabot du Lez;;ES;Cottidae;Oui;;CR;B1ab(iii,v);Diminution;2019;VU;VU;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;PC
25;920139;920139;Barbatula leoparda;Gauliard, Dettai, Persat, Keith & Denys, 2019;Loche léopard;;ES;Nemacheilidae;Oui;;EN;B(1+2)ab(iii);Inconnue;2019;;;;Liste rouge des poissons d'eau douce de France métropolitaine;Poissons_eau_douce_metropole_2019;Poissons;E
